trdar_no,trdar_nm,signgu_cd,signgu_nm,link_cnt,minm_road_cfi,max_road_cfi,ave_road_cfi,trdar_dgrm_crdnt
10010,송우리시외버스터미널_2,41650,포천시,15,12,79,39.9,"MULTIPOLYGON(((127.142209393224 37.8320722540488,127.14220940607 37.8320790111502,127.1419995958 37.8322571992722,127.14172101789 37.8321133797655,127.140961796114 37.8315917317058,127.14061485128 37.8313331195756,127.140432727184 37.8311328736002,127.140224843299 37.8308245438169,127.140267153019 37.8306713325757,127.140201795769 37.8306488859085,127.139683487663 37.8298634175707,127.139916128447 37.8297460207249,127.140359141977 37.8297522558658,127.141542375671 37.8292530790697,127.141834291413 37.8289486608713,127.142211674246 37.828790544041,127.141929653994 37.8283223872466,127.144074692883 37.8274008392125,127.144174080938 37.8274007187474,127.144473019386 37.8278012784629,127.14485617474 37.8276972030968,127.145088822349 37.8275910578641,127.145376040076 37.8278024301753,127.146251289405 37.8281234461981,127.146529825747 37.8282492361548,127.146819858879 37.8284448348313,127.147203976216 37.8288295156912,127.147505825402 37.8292548400943,127.146126988633 37.8299074787084,127.145890955108 37.8297365882311,127.145606633912 37.8295589993023,127.145068349898 37.83021284547,127.144778706806 37.8302199556301,127.144596609056 37.8300377350141,127.144562227227 37.8298801107111,127.14449359889 37.829634685465,127.14444767149 37.8293802230997,127.144336070021 37.8289388934554,127.144435160057 37.828783359364,127.144469036497 37.828679709029,127.144471628251 37.8285513205896,127.144544981773 37.8283034703457,127.142291982984 37.8292093894334,127.142830162314 37.8299790558838,127.14293232043 37.8299406427949,127.143288377161 37.8305078122633,127.142296943341 37.8303243081965,127.141970664603 37.8304801118944,127.142047590905 37.8306129100307,127.141780839206 37.8307123327588,127.141728389537 37.8315074828156,127.141876141149 37.8315501017138,127.141967549626 37.8318315391756,127.142209393224 37.8320722540488)))"
10011,일동면,41650,포천시,6,6,33,18.7,"MULTIPOLYGON(((127.319052022669 37.9597262887408,127.318958312096 37.9597648311383,127.318841882496 37.9598124440387,127.318724842117 37.9597181625407,127.31859610349 37.9595495860267,127.318017498524 37.9586254426771,127.317633656742 37.9580070880239,127.317204162803 37.95735506985,127.316823082772 37.9567141818043,127.316244426303 37.9557675061685,127.316403298327 37.9556679788545,127.316512093942 37.9558321066876,127.316730691823 37.9557301666108,127.317532429766 37.9569555279266,127.317913517207 37.9575964136153,127.318758643921 37.9589793115301,127.3192025788 37.9596763311217,127.319245550396 37.9597460368253,127.319166014937 37.9597732795036,127.319386359327 37.9600744944448,127.319323843366 37.9600904296384,127.319052022669 37.9597262887408)))"
10012,포천시외버스터미널_1,41650,포천시,34,13,100,73.0,"MULTIPOLYGON(((127.2022898315 37.8993012936289,127.201657400329 37.8987798274916,127.200483780889 37.8978335813895,127.20000228251 37.8963523515023,127.199780698202 37.8963955197946,127.199642479483 37.8957290582746,127.200074171998 37.8956044512763,127.201775579251 37.8951916397859,127.200572409732 37.8938062366116,127.200614818097 37.8937228280005,127.201103389764 37.8936161396835,127.201481480531 37.8936447780281,127.20181152912 37.8937748525848,127.202150313477 37.8939814911011,127.202346793089 37.8941162965977,127.20243518344 37.8942197535928,127.202569208933 37.8943816935354,127.202751951728 37.8946899525033,127.203139934029 37.8952163371247,127.203465010053 37.8956031829812,127.203929861294 37.8961722274728,127.204086860538 37.8964174628814,127.204255526819 37.8967707905497,127.204438288775 37.8970812990719,127.204520883331 37.8971419698767,127.204626452023 37.8972881900782,127.204700910321 37.89749077256,127.204712942719 37.8977317527171,127.2022898315 37.8993012936289)))"
10013,포천시외버스터미널_2,41650,포천시,19,39,100,80.9,"MULTIPOLYGON(((127.203730638688 37.9012673742479,127.203724966051 37.9012718886883,127.203598140105 37.9006301886154,127.203227420523 37.9001916178508,127.20281410577 37.8997666328556,127.202463543328 37.8994203712421,127.202988437655 37.8990703598728,127.204007056424 37.8984109259422,127.204163374724 37.8984061520345,127.204243060156 37.8984420522367,127.206218333276 37.9004251989795,127.205929107574 37.9006802168732,127.205622526238 37.9008271516557,127.205267640266 37.9009809263586,127.205001924761 37.901517444203,127.204825305617 37.90137810432,127.204739863575 37.9013174386983,127.204628882672 37.9012725835268,127.204148453155 37.9012553934504,127.203730638688 37.9012673742479)))"
10014,가능역2-3번출구,41150,의정부시,2,35,45,40.0,"MULTIPOLYGON(((127.046210962705 37.747063895355,127.046032670168 37.7477509469707,127.045953440747 37.7480775758515,127.045848733405 37.7484920581088,127.045746643641 37.7485416495227,127.045102648359 37.7484135031189,127.045029051731 37.7486793142962,127.044819560656 37.7494001615288,127.04422095288 37.7492832556135,127.044393747723 37.7488642452073,127.044668453855 37.7480915693853,127.044903474813 37.7473752176466,127.045019542807 37.7469787511939,127.045827980698 37.7469942158485,127.046171220509 37.7470143575279,127.046210962705 37.747063895355)))"
10015,덕소역,41360,남양주시,2,100,100,100.0,"MULTIPOLYGON(((127.20957419517 37.5871549685943,127.209223495389 37.5872569475378,127.209211597189 37.5870497418143,127.212229632853 37.5852964769044,127.213045522657 37.5855517975621,127.212887808563 37.5858313858492,127.212872380908 37.5863810147375,127.2130264124 37.5867996969321,127.213005222553 37.5873132966605,127.213638100435 37.5879023056862,127.213692462638 37.5881071820787,127.213596441982 37.5881839385126,127.213101117448 37.5881915854431,127.212967297978 37.5879147724152,127.212652695837 37.5877689258387,127.212476039465 37.5873570410822,127.212330024586 37.5867694090906,127.212253334683 37.5866749426434,127.212063832308 37.5867248352565,127.211674087875 37.5870318653785,127.209942046643 37.5871137748267,127.20957419517 37.5871549685943)))"
10016,고촌읍사무소,41570,김포시,29,8,100,66.8,"MULTIPOLYGON(((126.771812282893 37.6001413507244,126.772658130886 37.6012692219593,126.770614058137 37.6031212680781,126.768617288095 37.6042976344309,126.76771445071 37.6032957596273,126.769449883482 37.6023981997961,126.771812282893 37.6001413507244)))"
10017,김포시청_1,41570,김포시,12,2,73,23.8,"MULTIPOLYGON(((126.718393737109 37.6189279418175,126.718382410367 37.6189279146549,126.71643027388 37.6199548384139,126.715410072728 37.6186774846834,126.715818643742 37.6184667438907,126.714916813646 37.6173428385503,126.716545259456 37.6165358985277,126.718393737109 37.6189279418175)))"
10018,김포시청_2,41570,김포시,14,2,73,23.6,"MULTIPOLYGON(((126.716140768011 37.6216119406776,126.716118148142 37.6216028762083,126.715396679276 37.6206956459296,126.718404466296 37.6190856389577,126.720269500399 37.6186170822221,126.72069492893 37.6184378989631,126.721392025949 37.6183044080236,126.721589280149 37.6185616550672,126.72170129838 37.6188952830572,126.716140768011 37.6216119406776)))"
10019,장기사거리,41570,김포시,32,6,85,49.0,"MULTIPOLYGON(((126.666676760101 37.6451461489199,126.666671074554 37.6451506376618,126.666472727192 37.6451635893921,126.665920380861 37.6445268331762,126.665932015296 37.6444592931712,126.668129892875 37.6432537110209,126.668231745602 37.643281027914,126.668935799349 37.644202008045,126.672343184141 37.642346542368,126.67359500274 37.6436789648515,126.673751967152 37.6440578102381,126.673807828437 37.6442381602929,126.673569511028 37.6443230909543,126.673103987097 37.6445425353476,126.672496569545 37.6448201457744,126.6716965859 37.6450837004777,126.670919277997 37.645342808379,126.670318350953 37.6454312210768,126.669817097633 37.644763092321,126.668442434288 37.6455791077448,126.667576862805 37.6453018647157,126.667176459895 37.6448907877936,126.666676760101 37.6451461489199)))"
