trdar_no,trdar_nm,signgu_cd,signgu_nm,link_cnt,minm_road_cfi,max_road_cfi,ave_road_cfi,trdar_dgrm_crdnt
9155,용산 전자상가_2,11170,용산구,2,27,28,27.5,"MULTIPOLYGON(((126.966655967995 37.5336636950834,126.964076566795 37.533293500581,126.96418433753 37.5327123925538,126.964461506291 37.532753024301,126.964484182769 37.5326539218906,126.96532168715 37.5320685334649,126.965762881891 37.5321542618943,126.966842991199 37.5329204287663,126.967069262168 37.532934009638,126.967968478965 37.5334613496857,126.968296378297 37.5339254545434,126.966655967995 37.5336636950834)))"
9156,용산 전자상가_3,11170,용산구,41,1,94,34.0,"MULTIPOLYGON(((126.96274713313 37.5333876777591,126.961660078774 37.5351172279466,126.961535579559 37.5351982755679,126.958470174307 37.5338997687588,126.957339091677 37.5333587552851,126.954749011053 37.5320603277865,126.954081506892 37.5320510524229,126.954127023224 37.5316366127022,126.955495772184 37.5319705206878,126.95700011704 37.5326108022659,126.957905033591 37.5329354971408,126.959782909079 37.5333416212949,126.96028070676 37.5333688254125,126.961909983168 37.5332342317846,126.962701896026 37.5333516231426,126.96274713313 37.5333876777591)))"
9157,용산 전자상가_4,11170,용산구,26,1,94,40.5,"MULTIPOLYGON(((126.959665698324 37.5355737954058,126.96001938953 37.5353554285045,126.959974254653 37.5351346689123,126.958775229659 37.5346432001942,126.957638676511 37.5337598095019,126.958679275383 37.5342647475885,126.961478898164 37.5354054852864,126.961020266371 37.5361576602365,126.960474468489 37.5359389812161,126.960641480792 37.5357070327432,126.96052552787 37.5356732053832,126.959937022415 37.5359680762004,126.959665698324 37.5355737954058)))"
9158,용산 전자상가_5,11170,용산구,8,6,94,48.3,"MULTIPOLYGON(((126.964782471505 37.535780467977,126.963306142188 37.5354150983633,126.963249518271 37.5355186945215,126.963322738165 37.5361539195637,126.962174711688 37.5354282431649,126.961824036979 37.5353019869483,126.961801441869 37.5352389097282,126.962899841075 37.5334462923007,126.963035635989 37.5333922767428,126.966757689621 37.5338889737567,126.967877667253 37.53413256543,126.967775784298 37.5342586758168,126.967730515915 37.5342856927853,126.966587764047 37.5343529363579,126.966519632217 37.5348845033952,126.966462761153 37.5355286980491,126.965501013064 37.535604994405,126.965546390802 37.5353527295817,126.965054278809 37.5352354499126,126.964782471505 37.535780467977)))"
9159,용산구청,11170,용산구,31,4,100,43.8,"MULTIPOLYGON(((126.990689809497 37.5327065021195,126.990477574645 37.5333979967003,126.99034744984 37.5334970941115,126.988839855501 37.5335622659074,126.990582557873 37.5311117302019,126.991114278547 37.5312424219594,126.991312296304 37.5310216950484,126.991436750985 37.5309811607773,126.991544158936 37.5315217671702,126.991346156821 37.5316208600452,126.990689809497 37.5327065021195)))"
9160,이태원역,11170,용산구,22,4,95,50.8,"MULTIPOLYGON(((126.995229292675 37.5350246358485,126.992429049841 37.5348893077196,126.992497007389 37.5342766361331,126.990898910567 37.5341706382781,126.99103755988 37.5337922324846,126.991195978714 37.5336233096232,126.991343075955 37.5335061928151,126.991450539068 37.533652613632,126.992135010939 37.5338418781662,126.992304718742 37.5338599112243,126.992621537896 37.5336279288368,126.992720543431 37.5335558565061,126.992963801067 37.5334882994272,126.993274939197 37.5334455238922,126.993393710603 37.5336797907602,126.993492716885 37.533594202853,126.993707707741 37.5333441907959,126.993803907277 37.5330356060825,126.994499707625 37.5330694359523,126.994731697333 37.5324477623671,126.994915546589 37.5324455200733,126.994901394234 37.5325626487118,126.995082413424 37.53258293089,126.995336983199 37.5324703197391,126.995489747163 37.5321166867067,126.995679262041 37.5319883041282,126.99586593708 37.532006332891,126.996103537754 37.5318283971043,126.996321331546 37.5317518219947,126.995543425192 37.5329163228599,126.995484013264 37.5330965189943,126.99549531902 37.533200134027,126.995696149488 37.5330852669386,126.995928086254 37.5330559955083,126.996751161737 37.5332069473119,126.997042493962 37.5332204732833,126.996954784361 37.5336754726823,126.997014165423 37.5339728033323,126.996872691742 37.5347791887301,126.997076345498 37.5347927112411,126.997008436887 37.535200409036,126.995698820472 37.5351643135778,126.995229292675 37.5350246358485)))"
9161,한남오거리,11170,용산구,38,1,99,45.1,"MULTIPOLYGON(((127.007304219174 37.5333870878252,127.006237975635 37.534839991388,127.006373700002 37.5341597343586,127.00594942489 37.5341867814215,127.005802283066 37.5331866822469,127.004489875347 37.5332993486055,127.004478557506 37.53320474439,127.004523809705 37.5331236536066,127.004653915103 37.5330245405694,127.005558985358 37.53231272554,127.005604221085 37.5319703456229,127.00570038533 37.5319297973374,127.005824828376 37.531799148352,127.006707297514 37.5318171316967,127.006667749277 37.5325199099933,127.006769593599 37.5327992139751,127.007072264745 37.5331393255225,127.007290069464 37.5332947365113,127.007304219174 37.5333870878252)))"
9162,불광역_1,11380,은평구,8,20,54,33.4,"MULTIPOLYGON(((126.931439832379 37.6108268312527,126.930830411062 37.6115337404421,126.930434313609 37.6112136539595,126.929237164579 37.6106498137198,126.929030592087 37.610525802062,126.928283823476 37.609788787987,126.927398110703 37.6092769279874,126.927358587842 37.6091597753429,126.927426656134 37.6090426901443,126.92788543562 37.6089393635907,126.928593571047 37.6086312155038,126.929182609046 37.6085054395609,126.92946005264 37.6085326384521,126.929774336044 37.6085260721578,126.930388705404 37.6085557252454,126.930937778473 37.6087722902962,126.931025405537 37.6089255097807,126.930968712948 37.6089953022061,126.931772423491 37.6094147362942,126.931593665004 37.6098245782462,126.931780420178 37.6099485737491,126.931159649765 37.6106915173901,126.931439832379 37.6108268312527)))"
9163,연신내역_1,11380,은평구,8,41,100,77.0,"MULTIPOLYGON(((126.920093087014 37.6172030252514,126.920743287027 37.6182035615761,126.920924621952 37.6181045772942,126.921349934895 37.6175822967777,126.921451898988 37.6175598413191,126.922000926035 37.6178575360066,126.921825146114 37.6180601386453,126.921263795967 37.6186904464159,126.920567395626 37.6185052702852,126.920290084587 37.6183248836471,126.919662488623 37.6173739145275,126.920093087014 37.6172030252514)))"
9164,연신내역_2,11380,은평구,10,41,100,77.4,"MULTIPOLYGON(((126.91919250773 37.6173060145042,126.920605967397 37.6194963769386,126.920101233852 37.6201244652969,126.91988551594 37.6205860697239,126.919814290848 37.6209802000422,126.919751949496 37.6210184486629,126.919256459441 37.6209505312793,126.919336175361 37.6205631645636,126.918634018943 37.6204500516198,126.918674117859 37.6200401329894,126.917898351814 37.6199179542339,126.918023567572 37.6193639388531,126.917615616014 37.6195258267634,126.916886194497 37.6184936823797,126.918750256037 37.617769711561,126.918591912076 37.6175623746782,126.91919250773 37.6173060145042)))"
9165,연신내역_3,11380,은평구,8,41,100,77.0,"MULTIPOLYGON(((126.921552312366 37.6189879660038,126.922214691182 37.6192181625948,126.921704182158 37.619965634075,126.921477651267 37.6199564711041,126.92136412999 37.6201906494814,126.921279109379 37.6202536605371,126.92058824584 37.6201721012453,126.920576801784 37.6202802112331,126.920576528785 37.6205324859582,126.920229774005 37.6217080291755,126.92004291297 37.6216718612729,126.920196781546 37.6207980149709,126.920310415012 37.6204647298207,126.920503297787 37.6201675381522,126.921427687765 37.6190149111038,126.921552312366 37.6189879660038)))"
9166,경복궁역_1,11110,종로구,20,12,100,81.8,"MULTIPOLYGON(((126.969907613023 37.5767094984708,126.969296169897 37.5770291848994,126.969160663139 37.5762407828847,126.969788978196 37.5761643686049,126.97044555754 37.5761735523222,126.971770081701 37.5760792880532,126.972234192914 37.5761424727318,126.972432224857 37.5763362340298,126.972120585438 37.5771740767088,126.972007240177 37.5775299390676,126.971808979993 37.5779083047748,126.971616578933 37.5777821180425,126.971373092943 37.5780118084923,126.970914522932 37.5782144134807,126.970790078972 37.5780094064283,126.970125025901 37.5779213858906,126.970003397743 37.5777569232287,126.970934532211 37.5777278848481,126.97133642288 37.5777077155413,126.971370406464 37.5776536648697,126.971571703888 37.5767594846457,126.970524576411 37.5767164187114,126.970485009616 37.5765835125316,126.970598222571 37.5765632698517,126.970536002776 37.5764596399122,126.970049148274 37.5766397094845,126.969907613023 37.5767094984708)))"
9167,경복궁역_2,11110,종로구,10,36,100,80.1,"MULTIPOLYGON(((126.973755749544 37.578949417888,126.973715995047 37.5793052989735,126.97261219948 37.5793320648746,126.972629360888 37.578863555119,126.972244481541 37.5787913817127,126.972233199366 37.5786922702055,126.971774745196 37.578597552372,126.972097646291 37.577935406366,126.972403580012 37.577223700865,126.972760613673 37.5760840372164,126.972862538364 37.5759759432178,126.974096488222 37.5758951457668,126.974198346884 37.5759627434183,126.973937418169 37.5774898589195,126.973535558714 37.5774312005883,126.973501628845 37.5773455986659,126.973105425683 37.5773004550335,126.973003203873 37.5781879042298,126.973178666299 37.5782104709762,126.973218268422 37.5782645397355,126.973070860413 37.5788951963807,126.973755749544 37.578949417888)))"
9168,광화문역_1,11110,종로구,22,12,100,72.6,"MULTIPOLYGON(((126.971466989248 37.5696821877347,126.970912488258 37.5693126401565,126.971388071157 37.5688892966628,126.972542438024 37.5694121583118,126.972655597194 37.5695022848714,126.975366609845 37.5694488537684,126.975242356302 37.5687055096874,126.975666884632 37.5685434246918,126.976028941734 37.569012017725,126.976255332586 37.5689985512568,126.976266670044 37.5689444942746,126.97679311841 37.5686382684753,126.976741819805 37.5697374654132,126.976554982024 37.5699401489826,126.976328562734 37.5700302001445,126.975666386135 37.5699940182346,126.975502260135 37.5699759625901,126.974500492647 37.5699622239834,126.972547885922 37.5699617634056,126.972247925517 37.5699481749437,126.971919694966 37.569862499491,126.971659383543 37.5697723352889,126.971466989248 37.5696821877347)))"
9169,광화문역_2,11110,종로구,39,13,100,80.8,"MULTIPOLYGON(((126.971923689207 37.5740926458369,126.970780218808 37.5744392358603,126.971062913674 37.575200644472,126.971306300902 37.5751962017631,126.971340211002 37.5753223488433,126.971425109422 37.5753313802991,126.971430672162 37.575574648711,126.97158348915 37.5755927071475,126.971572080877 37.5758134465376,126.970870202968 37.5758538117765,126.970400397217 37.5758807191221,126.970440106036 37.5756689971554,126.970338368948 37.5753175847902,126.970214003644 37.5749391366775,126.970598972425 37.5747410200773,126.970446220754 37.5745697922488,126.970372649074 37.5745472482274,126.970038880092 37.5741282002004,126.970084211336 37.5740065786943,126.97031067263 37.5738624802356,126.970633338474 37.5737544459931,126.970831455608 37.5737139528994,126.971035219747 37.5737049955448,126.971391863758 37.5735474135475,126.971748629386 37.5730789892137,126.971035598 37.5727724717886,126.970814904428 37.5726642961549,126.970401863558 37.5723398323607,126.971285054081 37.5717318928906,126.97088334334 37.5713894138267,126.972009964036 37.5705923236269,126.972004428072 37.5702769758686,126.972513795451 37.5703041311666,126.973277862445 37.5703043154608,126.976379404013 37.5703185276248,126.9765491713 37.5703951475643,126.97653176712 37.5716745491026,126.97475456809 37.5716831716879,126.974726116323 37.5721111352547,126.974612824995 37.5723723965532,126.974397173161 37.5739670984431,126.974215459944 37.575597846873,126.972766413446 37.5757191381473,126.972840155437 37.5753001961604,126.972732671556 37.5751470020165,126.972693517133 37.5739306573149,126.971923689207 37.5740926458369)))"
9170,동대문시장_1,11110,종로구,36,15,100,64.0,"MULTIPOLYGON(((127.00616674831 37.5709742930172,127.002261480559 37.5708887930506,127.002114323733 37.570686071402,127.002182232895 37.5699247346553,127.002346363581 37.5698166146412,127.004366884979 37.5698571252001,127.006885462068 37.5698660443228,127.009302177143 37.5699920452703,127.009455009396 37.5701722328509,127.009251314544 37.570703830534,127.008787236187 37.5709471277965,127.008340117068 37.5710057193612,127.00616674831 37.5709742930172)))"
9171,동대문역_1,11110,종로구,18,15,100,72.4,"MULTIPOLYGON(((127.009786267756 37.5716228029734,127.010301326742 37.571724126453,127.011025802939 37.5718299356901,127.012525723983 37.5721992091637,127.014339815096 37.5727373649612,127.015378473169 37.5730525925444,127.015486042244 37.5732102528526,127.015497394531 37.5733814394495,127.015539989547 37.5741472751344,127.015259843585 37.5742892142085,127.015107012101 37.574235172745,127.014976773499 37.5739198416362,127.014758807922 37.5736157827129,127.01396640548 37.5736068600242,127.01390412352 37.5734762232188,127.014102155511 37.5730775142897,127.013997440438 37.5730437384382,127.013867252625 37.572991945407,127.013833280858 37.572919869855,127.01348517873 37.5728275546854,127.013360659175 37.5728230624508,127.013210720512 37.5731384238339,127.012927708412 37.5730506054245,127.012735239178 37.5728501539917,127.01278050949 37.5727893328465,127.012262570478 37.5724177236624,127.012010720881 37.5725348752465,127.011625843211 37.5725146370459,127.01161167428 37.5723749849234,127.011362637215 37.5723682488432,127.011351293043 37.57218579945,127.010708900475 37.5722331539535,127.009899568902 37.5725350466385,127.009879743532 37.5723976471903,127.009775011321 37.5721859221844,127.009678782288 37.5720890726329,127.009758000303 37.5719066166699,127.009786267756 37.5716228029734)))"
9172,동대문역_2,11110,종로구,39,15,100,66.1,"MULTIPOLYGON(((127.011028603789 37.5716046880904,127.010547506208 37.571523637411,127.010536159461 37.5713028958577,127.009721052165 37.570483055779,127.009834215698 37.5702014884416,127.009944568139 37.5700911092381,127.010023804498 37.5700911034572,127.010570068859 37.5708997003847,127.010906804914 37.5707262331638,127.011286007425 37.5707014247106,127.012474565515 37.5707215911735,127.012706613394 37.5706990443799,127.014047988376 37.5707326950742,127.014237593226 37.5707439369325,127.015678017345 37.5707843156913,127.015593330341 37.5718880381049,127.015542541697 37.5726809148762,127.015483127247 37.5727597585594,127.015378425074 37.5727958106016,127.01386997494 37.5723477377453,127.012573798713 37.5719694523082,127.011600263878 37.5717127586804,127.011028603789 37.5716046880904)))"
9173,안국역,11110,종로구,16,14,72,49.6,"MULTIPOLYGON(((126.986262812739 37.5770370805367,126.986735406118 37.5772353575783,126.986922181885 37.5773052072059,126.987151408043 37.577386324016,126.987578747211 37.577456201335,126.988116474258 37.5774630203501,126.98802558347 37.5792897642255,126.987227462831 37.5792851663575,126.986330285579 37.5792760455721,126.985809545245 37.5791813742997,126.985498239404 37.5790979914297,126.985223736686 37.5789695633589,126.985557866276 37.5781880011241,126.985702268516 37.5778861892261,126.986098651237 37.5771046335627,126.986175077708 37.577041574219,126.986262812739 37.5770370805367)))"
9174,인사동,11110,종로구,44,14,100,64.4,"MULTIPOLYGON(((126.986059148338 37.5765234907315,126.985943099285 37.5765933022497,126.985003595935 37.5761584486461,126.984321612825 37.5758475109755,126.983682074805 37.5755861301059,126.983073659879 37.5753743049793,126.983019911215 37.5752819452711,126.982977487921 37.5751693150508,126.983105316596 37.573220945966,126.983179233794 37.5718334337701,126.983151246104 37.5705540242774,126.983270142803 37.5703828545296,126.983428633426 37.5703107995486,126.985822713216 37.5702976242875,126.98744706053 37.5703113418908,126.987429831033 37.571653814357,126.987588062984 37.5729782873447,126.987372867362 37.5736044495484,126.986789692656 37.5745999719345,126.986195066917 37.5761631127724,126.986059148338 37.5765234907315)))"
9175,종각역,11110,종로구,33,22,100,71.2,"MULTIPOLYGON(((126.982390135007 37.5700470976551,126.979916839906 37.5700128869775,126.979917060864 37.5692425407414,126.982571490579 37.5690763101539,126.982622415124 37.5691258726956,126.982681678409 37.5697790997168,126.982664673348 37.5698827108469,126.982390135007 37.5700470976551)))"
9176,종각역 젊음의거리,11110,종로구,38,19,100,64.5,"MULTIPOLYGON(((126.987489560541 37.5700320400823,126.984331431798 37.5700158591734,126.983974868549 37.5700158071703,126.983972159717 37.5694954851721,126.983015671311 37.5694953403319,126.982933706788 37.5690853771771,126.982984656496 37.5690335782046,126.984000607272 37.5688535340784,126.984498674934 37.5687702647435,126.985678755689 37.5685519374368,126.986349454082 37.5683875940104,126.986884300843 37.5683178341281,126.987433284695 37.5683066378423,126.987504021404 37.5683516956724,126.987532308194 37.5684125158163,126.987506702579 37.5691535770323,126.987489560541 37.5700320400823)))"
9177,종로3가역_1,11110,종로구,25,19,100,66.9,"MULTIPOLYGON(((126.992221285118 37.5685143337192,126.992028644766 37.5702216943911,126.987834809294 37.570005050481,126.987812474955 37.5683247018006,126.987914355972 37.5682796639571,126.988819891671 37.5682842686516,126.989640527073 37.5683294025454,126.990574353716 37.5683880559906,126.992221285118 37.5685143337192)))"
9178,종로3가역_2,11110,종로구,13,23,100,77.1,"MULTIPOLYGON(((126.991099979336 37.573618347496,126.9908621527 37.5743751574405,126.990403703359 37.574266997049,126.99003014513 37.5742309221895,126.989498104418 37.574203840206,126.989424523753 37.5742038327828,126.988988717715 37.5740956691825,126.987868121934 37.5735819825049,126.987862470067 37.5735369323981,126.988060678328 37.5729287871664,126.98789671333 37.5719647099362,126.988349514846 37.5719016914876,126.988570264695 37.5718161216312,126.988802373891 37.5714917903527,126.988847835951 37.5703970928154,126.990919289731 37.5705369477808,126.991904086364 37.5705685654987,126.991994630922 37.5706631766387,126.991700194629 37.5716497364685,126.991099979336 37.573618347496)))"
9179,종로3가역_3,11110,종로구,7,55,100,86.0,"MULTIPOLYGON(((126.991612182038 37.5738323758789,126.991510254995 37.5741860056451,126.991150848909 37.5741341682031,126.991575535268 37.5727376709083,126.991892614669 37.5717691331817,126.992133248597 37.5710438556812,126.992187056362 37.570721756092,126.992320080453 37.5705640931766,126.993732183699 37.5706700592784,126.993695316742 37.5714336455644,126.993709403355 37.5720485718024,126.993618838842 37.5721093826767,126.993449024643 37.5722738019717,126.993256563674 37.5724967837726,126.993205603719 37.5726859880232,126.992764059731 37.5732851145372,126.992268717029 37.5740599280855,126.992132906667 37.5738121455201,126.991682950126 37.5736949808587,126.991612182038 37.5738323758789)))"
9180,종로5가역_1,11110,종로구,25,33,100,72.8,"MULTIPOLYGON(((127.001579474423 37.5708212220028,126.998503384668 37.5705869300485,126.997954403119 37.5702175096638,126.998022365896 37.5691948881926,126.998223286914 37.5691318244294,127.00172379443 37.569809860719,127.001811520734 37.5699224841457,127.001729458328 37.5706815682493,127.001579474423 37.5708212220028)))"
9181,종로5가역_2,11110,종로구,39,24,100,65.2,"MULTIPOLYGON(((127.000721981008 37.5747900783638,126.999844668205 37.5746909614878,126.999776741962 37.574934227624,126.999555998681 37.5748981848766,126.999306930367 37.5757586252184,126.997591900086 37.5757405629968,126.997501342067 37.5756504611751,126.997484370013 37.5754882826157,126.997608961943 37.5741232882927,126.997863798542 37.5712536450912,126.998146798875 37.5710464255573,126.998492053495 37.5708887613015,127.001644563156 37.5711185484387,127.001797379007 37.5712536964212,127.00189361142 37.5734476052015,127.001989844595 37.5750513653352,127.001180448514 37.5748846838402,127.000721981008 37.5747900783638)))"
9182,종로5가역_3,11110,종로구,41,15,100,65.3,"MULTIPOLYGON(((127.002901127695 37.575272099336,127.002674734979 37.5759928931644,127.002357764822 37.5760154209603,127.002250220077 37.5759163130382,127.002103026876 37.5730061193529,127.00202377201 37.5712401805433,127.002199225349 37.5711230507988,127.003908491949 37.5711680759139,127.006528992103 37.5712085350376,127.007808114778 37.5712355019094,127.008702375768 37.5713210437698,127.008775960734 37.5713931183403,127.007389419569 37.5728753247654,127.006834667058 37.5718166892107,127.006602620873 37.571938333299,127.006251760365 37.5727357239371,127.005442354589 37.5721050620605,127.004825439841 37.5723979032804,127.00451981242 37.5725871195951,127.004389640784 37.5727538060234,127.004729246581 37.5729610243932,127.004604746808 37.573407017554,127.004140626882 37.5733890095702,127.003987817095 37.5736728246574,127.003585968318 37.5740782780017,127.003189775695 37.5745017496445,127.003008664877 37.5750288308733,127.002901127695 37.575272099336)))"
9183,종로5가역_4,11110,종로구,17,24,100,62.8,"MULTIPOLYGON(((126.995667397244 37.5763418957439,126.995803279923 37.5758373484919,126.995820279172 37.5755850724068,126.995899546402 37.5752427003166,126.996148617284 37.5748823160072,126.996216550003 37.5747156360247,126.996510945236 37.5736299566309,126.996839255444 37.5731389305583,126.996867581067 37.572710961723,126.996363895116 37.5719856449735,126.996494152037 37.5707648095988,126.997054469267 37.5708008710015,126.997603447929 37.5712243549085,126.997518499494 37.5722154406037,126.997323094307 37.5747764959127,126.997238148201 37.5755851305597,126.997158898408 37.5757202760916,126.997020217788 37.5758328946704,126.996476829238 37.5760130711622,126.995667397244 37.5763418957439)))"
9184,종로구청,11110,종로구,66,13,100,69.5,"MULTIPOLYGON(((126.979503591099 37.570314642709,126.982514579362 37.5703241719348,126.982865435279 37.5705224451833,126.982796752768 37.5736038182392,126.982671849669 37.5751354799478,126.982230279479 37.5754507553042,126.981845370775 37.5755227713799,126.979705768533 37.5757476453184,126.979524677383 37.5756304833917,126.978608082689 37.5744770443339,126.979468429399 37.574423147749,126.979377923963 37.5742339232163,126.979830956582 37.5734411362928,126.980148179547 37.5725131747845,126.979955760225 37.5724500707806,126.979299223013 37.5724049003887,126.97935639765 37.5704497638046,126.979503591099 37.570314642709)))"
9185,종묘앞_1,11110,종로구,13,33,100,76.5,"MULTIPOLYGON(((126.997113913511 37.5705125564719,126.995379202263 37.5704021099355,126.99544999959 37.5697669157423,126.995897142828 37.5694155512948,126.99636127624 37.5688344334275,126.997773348985 37.5690146828888,126.997711035981 37.5701747053577,126.997113913511 37.5705125564719)))"
9186,종묘앞_2,11110,종로구,9,41,100,76.2,"MULTIPOLYGON(((126.99492648173 37.56969931409,126.995065227427 37.5687172426221,126.996304681774 37.5688051488395,126.995871675056 37.5694042877382,126.995384914665 37.5697443877153,126.99492648173 37.56969931409)))"
9187,종묘앞_3,11110,종로구,13,55,100,75.9,"MULTIPOLYGON(((126.992249383251 37.570154137424,126.99245332688 37.5685368762246,126.994960525318 37.5687037221339,126.994779273679 37.5703299987862,126.992390867134 37.570235237346,126.992249383251 37.570154137424)))"
9188,혜화역 대학로_1,11110,종로구,18,11,99,58.3,"MULTIPOLYGON(((127.003263606993 37.5843900951327,127.002544690543 37.5848991624153,127.00234655835 37.5847414914101,127.002125785238 37.5847414930289,127.002179559574 37.5843968649456,127.001658763535 37.5843112735478,127.001964435953 37.582842662498,127.002210661241 37.5814731594091,127.002289902516 37.580892021533,127.003455977308 37.5808897542242,127.004211662231 37.5809032532779,127.004169219257 37.5812028328212,127.004466400043 37.5812095828123,127.004639065211 37.5816082653499,127.004565539443 37.5830633627606,127.004336281098 37.5830858934366,127.004107040012 37.5835836946829,127.00387212927 37.5839080554476,127.00320981937 37.5839914089792,127.003263606993 37.5843900951327)))"
9189,혜화역 대학로_2,11110,종로구,22,11,99,57.0,"MULTIPOLYGON(((126.997716106728 37.5822276832208,126.999646350456 37.5840004205879,127.000503949304 37.5849734965379,126.999451026672 37.5850297958268,126.99932931635 37.5850883579688,126.999114203361 37.5850793441783,126.999131187131 37.5850410525352,126.998681150019 37.584980226486,126.998681155691 37.5848225536786,126.998199990644 37.5846423442352,126.998389643385 37.5842774492238,126.997724523349 37.5837526052716,126.998109468665 37.5834620480111,126.998338738809 37.5832232923795,126.998318933963 37.5830340844431,126.998239685679 37.582991285449,126.998301955964 37.5829327228794,126.997984963841 37.5827615265335,126.997767023777 37.5828268416963,126.99765098181 37.5827772837681,126.99772174628 37.5826601575621,126.997543437383 37.5826038401768,126.997716106728 37.5822276832208)))"
9190,혜화역 대학로_3,11110,종로구,22,11,99,57.0,"MULTIPOLYGON(((127.001188914184 37.5849644897052,127.001118152934 37.5850906278183,127.001004935381 37.5850996373963,127.000229408619 37.5842301795011,126.999734098466 37.5837391354246,126.997704800209 37.5819258519224,126.998582204894 37.5817614456113,126.999199210945 37.5818267802006,126.999442619473 37.5817682202109,126.999703005359 37.5818943624886,126.999889814337 37.581486667927,127.000427569678 37.5816375889357,127.000495497679 37.5815835301804,127.000942685037 37.5817276907241,127.001791778274 37.5817479629784,127.001678568575 37.5824146943758,127.00150025909 37.5833990238516,127.001262505928 37.5846266194878,127.001188914184 37.5849644897052)))"
9191,남대문시장,11140,중구,49,4,90,43.0,"MULTIPOLYGON(((126.976451547074 37.5576325944332,126.977260669422 37.5578985549598,126.977645393291 37.5581373956631,126.978301611244 37.5588087643753,126.978578825308 37.5590430759882,126.978940928983 37.5592638882282,126.979110680518 37.5593179798383,126.979495446566 37.5594577054172,126.980417771014 37.559750694889,126.981487185876 37.5602329101682,126.981679552545 37.560381605961,126.981741755509 37.5605573096032,126.981141643766 37.5615032489725,126.980954879044 37.5615572762861,126.980853022763 37.5615302288976,126.979908043566 37.5612192189741,126.97937045988 37.5611245159576,126.978300952861 37.5609441135945,126.977457813802 37.5607592426492,126.976365742273 37.5603941149796,126.976252566691 37.5603805760875,126.976122447584 37.5602679244309,126.975924482297 37.5599750597747,126.975873810968 37.5592137111725,126.975907847253 37.5589704508394,126.975987152827 37.558731705185,126.976451547074 37.5576325944332)))"
9192,동대문시장_2,11140,중구,35,15,100,54.7,"MULTIPOLYGON(((127.006693001676 37.5694470928981,127.006636400324 37.5693840261474,127.006692909684 37.5681541723501,127.00766634838 37.5680189759514,127.00776821009 37.5678928318675,127.00717389125 37.5670729615536,127.006936187069 37.5670099036834,127.006228757487 37.5671450834391,127.006002332734 37.5664333102486,127.007371903685 37.566194486149,127.007739786798 37.5664197144556,127.008096373013 37.566865684861,127.008741649654 37.5678206959027,127.00930770016 37.5687036294191,127.00943225 37.5690550070484,127.009477570258 37.5694514394838,127.009341750143 37.5695685774086,127.006693001676 37.5694470928981)))"
9193,동대문역사문화공원역,11140,중구,39,11,87,47.9,"MULTIPOLYGON(((127.00304244009 37.5667307160404,127.002612319471 37.5667487411504,127.002470830305 37.5666135940143,127.002623605707 37.5647935918694,127.002753768844 37.5647034913617,127.003393274258 37.5647350168109,127.00437800177 37.5648160849891,127.004751517456 37.564798055075,127.005521183136 37.5647169413806,127.006415347485 37.5645637381683,127.006986938988 37.5645637123644,127.007122768599 37.5646402900243,127.007535987499 37.5657079428969,127.007371885255 37.5659647336113,127.006206055358 37.5661539950838,127.004049822265 37.5665550043814,127.00304244009 37.5667307160404)))"
9194,롯데백화점 본점,11140,중구,59,3,85,46.1,"MULTIPOLYGON(((126.981950344031 37.5636207133363,126.982436544708 37.5655759418482,126.982108213776 37.5659092551793,126.979199288907 37.5658456753897,126.978950352808 37.5655843411625,126.978656266525 37.5649175520027,126.978735549197 37.5647463790296,126.981147129939 37.5621429535168,126.981316879941 37.5622330815662,126.981950344031 37.5636207133363)))"
9195,명동,11140,중구,72,0,92,41.2,"MULTIPOLYGON(((126.984128735911 37.5654410525514,126.983998454907 37.5659365781744,126.983353282576 37.5659274715697,126.982742173523 37.5654903963792,126.982465184387 37.5642199557007,126.982142851166 37.5632603485479,126.98152066176 37.5620348979969,126.98148111252 37.5617916237765,126.981571733416 37.5615078268375,126.982018982164 37.5608096328962,126.982251033788 37.5606880368979,126.982641507876 37.5606835945322,126.982794290448 37.5607286682288,126.984610800209 37.560904633348,126.986619726501 37.5610805947128,126.988724864945 37.5612655421463,126.988832360138 37.5614277320046,126.988769991087 37.5621350033034,126.986727066087 37.5620131338016,126.986715711649 37.5621978355383,126.986495006875 37.5621887980259,126.986212033344 37.5622698512158,126.985968690902 37.5622653147654,126.985810187915 37.5624905417087,126.98570259491 37.562819389146,126.985566748663 37.5629410048018,126.985351709716 37.5628914213242,126.985170488654 37.563477040608,126.985028897453 37.5639815758883,126.9846325424 37.564900530766,126.984491040426 37.5649815997658,126.984281642298 37.5649905795458,126.984128735911 37.5654410525514)))"
